Vivado Simulator 2017.2
Time resolution is 1 ps
Block Memory Generator module tb_gtx3g_bert_axi_v1_0.axi_ad9286_ctrl_v0_1_inst_1.gtx3g_bert_axi_v1_0_S00_AXI_inst.async_dual_port_bram_inst_1.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 1260829, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1420813, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1580797, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1740781, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 1900765, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 2060749, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 2220733, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 2380717, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 2540701, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 2700685, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 2860669, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 3020653, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 3180637, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 3340621, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 3500605, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 3660589, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 3820573, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 3980557, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 4140541, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 4300525, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 4460509, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 4620493, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 4780477, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 4940461, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 5100445, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 5260429, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 5420413, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 5580397, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 5740381, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 5900365, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 6060349, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 6220333, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 6380317, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 6540301, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 6700285, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 6860269, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 7020253, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 7180237, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 7340221, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 7500205, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 7660189, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 7820173, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 7980157, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 8140141, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 8300125, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 8460109, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 8620093, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 8780077, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 8940061, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9100045, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9260029, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9420013, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9579997, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9739981, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9899965, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 10059949, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 10219933, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 10379917, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 10539901, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 10699885, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 10859869, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 11019853, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 11179837, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 11339821, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 11499805, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 11659789, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 11819773, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 11979757, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 12139741, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 12299725, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 12459709, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 12619693, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 12779677, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 12939661, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 13099645, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 13259629, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 13419613, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 13579597, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 13739581, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 13899565, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 14059549, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 14219533, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 14379517, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 14539501, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 14699485, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 14859469, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 15019453, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 15179437, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 15339421, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 15499405, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 15659389, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 15819373, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 15979357, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16139341, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16299325, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16459309, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16619293, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16779277, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16939261, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 17099245, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 17259229, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 17419213, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 17579197, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 17739181, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 17899165, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 18059149, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 18219133, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 18379117, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 18539101, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 18699085, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 18859069, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 19019053, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 19179037, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 19339021, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 19499005, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 19658989, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 19818973, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 19978957, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 20138941, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 20298925, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 20458909, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 20618893, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 20778877, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 20938861, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 21098845, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 21258829, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 21418813, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 21578797, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 21738781, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 21898765, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 22058749, A write address: 0, B  read address: 0
